,url,keyword,comment
0,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
1,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"This is nothing but a revenue venture.   If a team is safely in the playoffs, the 17th game becomes a throw-away where all the starters play a series or two or are totally held out.   Oh wait, that's already the 16th game....Let's hold out ALL the starters for this one.   Unless it is a ""win and you are in"" game but come on.   I would rather they re-work the playoffs so it is the teams with the best records, period.   Get rid of the 8-8 or 7-9 team that makes the playoffs because they won a horrible division. "
2,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,I'd like to see an out of conference annual rivalry game.  Have us play Giants or Lions once a year every year.  Every team could have two options to go between to ensure a rivalry game every year.
3,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Any game that brings Fitz back for a visit is cool
4,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,For the players sake they should have another bye for safety!
5,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"A better idea is a true ""throwback game.""   Throwback uniforms and original rules.   Officials are not allowed to arbitrarily call ""Unnecessary roughness,"" ""Roughing the passer,"" Drive-killing ""Pass Interference"" calls, or ""Illegal block in the back"" on every quality punt of kick return.   Officials are to be consistent.   If it's a penalty in the 1st Quarter, it is a penalty in the 2nd, 3rd, and 4th.   They are reminded that 66,000 fans are there to see the players play, not see them call the game."
6,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
7,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"I don’t like how half the teams each season will get more home games than the other half. Should be an even number of games, and bye week should be in the middle of season for everyone the make it fair. "
8,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"hey! Every team gets less money this year to play more! I guess the NFL has really got the ""protect the shield"" thing down."
9,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
10,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,So Fitzy gets a chance to throw picks against us in another uniform. Love that guy.
11,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Really wished they would do two bye weeks. Really would be very tiring
12,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Make it 20 and put a cap on how many regular season games an individual player can play. That wouldn't put the players at any more risk for injury, more revenue for the league, more players can get exposure, and more strategy involved. Fans happier with a season that lasts longer."
13,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Funny how these changes to extending the playoffs and regular season happened AFTER the Bills started getting better. 🤔
14,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Cool, but they just need to add another bye week to go along with it.  Which would equal 2 weeks of extra football."
15,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
16,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,They know we are going to win it all and stacking the deck to stop us
17,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Now that hockey season is over.....
18,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
19,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"I think it’s so funny how people killed A-Rod for telling the players to read the new CBA, only to now have all the players get mad about this. Y’all should’ve listened when you had the chance 🤦🏻‍♂️"
20,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"16 was sufficient, greedy Billionaires."
21,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Absolutely 0 fans asked for this. We were fine with 16.
22,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Free education: every player makes more money as they earn profits from NFL. So they aren't making less on their W-2.
23,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,The more games the better!
24,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
25,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Washington FOOTBALL TEAM was established 2020 (JOKE)
26,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,No more 8-8 season bailing out bad coaching.
27,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,FITZMAGIC GETS A FINAL GOODBYE!!!!
28,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Brutal. Shortening careers for 90% meaningless games.
29,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Bring on Fitzmagic!  
30,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
31,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,16 games was fine. 
32,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,2 preseason games should be the #
33,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
34,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,How many more hours of commercials is that?
35,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,I've been waiting to see the redskins play for a few years!
36,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,I thought this was a graphic talking about how many games the Sabres lost
37,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Wait does this mean I have to shell out more $$ this year? 
38,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,How could anyone be mad at this? We lose a meaningless preseason game and gain an extra regular season one in exchange.. this is win-win for everyone
39,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,So the stud is coming again
40,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,I assume season ticket prices will stay the same since we are losing one of the preseason games? Buffalo Bills
41,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Let’s not feel too bad for people making millions of dollars playing football. If they don’t like it they can quit.
42,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,The Beard returns
43,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Only problem I see with 17 games is who decides the teams that gets the extra home game....
44,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Go Bills!! Not a fan of extra games, asking for more injury!"
45,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Not bad.  Could be Packers, they got Cheifs..."
46,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,did anyone really want this?
47,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,I have a question. Why?
48,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,So now we get 2 bi-weeks instead of 1? 😄
49,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Who gets 9 home games and who gets 9 road games?
50,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"They are pronounced Redskins, The Washington Redskins.  Will be like a bye week going into the playoffs."
51,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Awesome, more football is a good thing"
52,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Wow, that’s more then the Sabres will win. 🔥"
53,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Too many billions must be controlled by billionaires!!!!
54,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
55,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Washington Redskins fixed it for you
56,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,It’s like they want someone to get injured....
57,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Cool. We're playing the Redskins!
58,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
59,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,I’m not complaining. It’s more football👍🏻
60,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,TRUST THE PROCESS!!!  Unlike 2000-2016 these guys seem to know what they’re doing.  If they think he can help the team I am all aboard.  Welcome to the Bills Bobby Hart!
61,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
62,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Just hope he can provide there. And really need to have people like him. Good luck
63,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"This is probably a good time to remind fans that the Bills can bring upwards to 90 players to camp, so they will be filling spots with a lot of unknowns. Not every signing will be a fix it all signing."
64,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"It's all about the scheme, I remember when they'd drop a guy in last year and he'd do great because he knew the scheme, I don't care where a person was or what they did before because every time someone plays for us, it's a new day."
65,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
66,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
67,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
68,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"High School state champion, 2013 NCAA Champion, and about to be Super Bowl champion. Winner!  :Except when he played on the Bengals!"
69,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,What? You mean they are not signing all the top players at their position? How shocking! How will we ever go on? Get a grip people.
70,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,What this and all the free agent signings have positioned the Bills to do is take the best player(s) available in the draft.    THAT is exactly where you want to be
71,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,All you people complaining yet again do realize that NFL teams can bring 90 players to camp and not all of them are going to be All Pros right?
72,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"He’s the worst, go watch some film. Not sure why they signed this guy but hopefully he doesn’t even make the 53"
73,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Awful move!  Should not make this team out of camp.  Awful for the Bengals!
74,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Robbie Hart?!  I love the wedding singer!! 🤪
75,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Definitely nothing more than a depth move. This guy was awful with both the Giants and Bengals. 
76,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Don't know much about him other then what I read but buffalo needs depth if not that practice squad.  I read  beane like to bring in 2-3 players at same position  to duel it out.  And you don't know half the players we have might not make the 53 nor practice squad.
77,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,It's good to have depth that has starting experience
78,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Welcome to Buffalo
79,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"PFF grade on bobby is 66.5 other lineman on our roster are the following 55.6 Cody Ford, Dion Dawkins 78.1 ,  John feliciano 64.6, Mitch Morse 65.8 , and Daryl Williams is 79.4. Bobby hart also had a rushing PFF grade out of 80. I bet he plays and will be our swing tackle. Especially in games where we rush the ball."
80,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Wasn’t he the wedding singer?
81,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,He's taller than his brother Kevin by alot. That's good.
82,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
83,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Just bottom of barrel depth move.  No biggie
84,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Wait, ge us from Carolina what the happened here?"
85,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Some fans truly are dumb. This is a guy who has been a consistent starter in this league. He’s not going to start here but it’s far from a camp body. Learn about who these players are before you look dumb. 
86,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Robbie Hart?
87,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"I'm just glad we had Anthony Koch to respond to everyone ""who cares"" .. go bills"
88,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Bobby who, never heard of him"
89,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
90,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,The wedding singer?
91,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Welcome Go BILL'S!!!!
92,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
93,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Welcome to Bills country!
94,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,It's about time ... enough with WRs ... we need OLs ... lots of 'em ... Go Bills!
95,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
96,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,The fact anyone is hating on a signing of a dude who probably won't make the team is stupid. It's called kicking the tires. Our OL is set dummies!
97,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
98,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Its a camp body,you do know we have like 90 spots to fill for training camp right 🤷‍♂️ if you don't know how football works just dont comment..."
99,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
100,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Are we going to address our defence, or pretend that there isn’t need for significant improvement?"
101,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Camp signing.  But dudes got a lot of experience.
102,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"From a Bengals fan, I hope he is there for depth. For y'alls sake"
103,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
104,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Can he play net?
105,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Welcome to the mafia, Bobby."
106,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,The Wedding Singer?
107,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Idk why they signing all these players that won't make the final 52 in the end.
108,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"I read it as Robby Hart and thought why the hell did we sign ""The Wedding Singer"""
109,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Bengals fan here. Use him in camp then cut him immediately. He's god awful. Make the right decision Bills. No team deserves Bobby Hart (except the steelers)
110,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,He’s got cool glasses so I’m in 
111,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Who is Bobby hart ??
112,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Always happy to see help on the O line
113,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Why is like me getting t.o back lol
114,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Looks like Chris Paul relative
115,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,You did that Peleton 
116,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"How about Brett the Hitman, Jim the Anvil and Jimmy the Mouth of the South? Zzzzzzz"
117,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Welcome to the Mafia Bobby Hart.
118,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Welcome to the team Bobby just don’t read the comments, people are such haters "
119,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Yes! I know nothing about him but I trust the process and the bean wizard!!!!
120,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Love the Buffalo Bills! but why are health insurance companies sponsoring teams? Great use of our health care money, especially those of  us who have Blue Shield coverage! 😔"
121,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,No thank you. Bills stadium or the Ralph. 
122,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Highmark Stadium. Sounds good. I'll still nickname it the Ralph, but I like this a ton more than New Era."
123,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,I miss the old days when the name of a stadium actually meant something
124,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,I think you guys are missing the point of this. Clearly ownership is looking out for our well being as we jump through tables. So now we have Blue Cross and Blue Shield here to aid us.
125,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"I'm a fan of simple. ""Bills Stadium"" worked. Bring back the grass and dirt. Bleachers all around. Cancel the games on nice days. I want to watch football the way it was meant to be played."
126,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Rich Stadium or The Ralph. Anything else doesn’t work.
127,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Guess we are paying entirely too much to our healthcare insurance companies if they can put their name on an NFL stadium.  
128,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"What a world we live in,,,The Bills Stadium brought to you by your aunts diabetes!!! Not very chill,,,"
129,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Great! A supposed not for profit health insurance company is spending our premium overcharges on this instead of lower or rates our paying what the services are really worth.   All wrong!
130,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"This is the best they could come up with, even after the awesome season?!?"
131,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
132,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Welcome to Highmark Stadium, and guess what your health insurance premiums just went up again! "
133,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,As long as the insurance company doesn't determine ticket rates.
134,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Rich Stadium, then Ralph Wilson Stadium will always be the names. "
135,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Ayyeee as a Highmark BCBS of WNY employee, this is pretty cool!!!"
136,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,I would have preferred a reduction in my health insurance premium..... 
137,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"If anything health related, it should’ve been Oishei Stadium for the children’s hospital   Edit: still gonna call it The Ralph regardless"
138,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Bringing money into Buffalo is always a good thing keep our team here!
139,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Hopefully Tommy Wiseau comes to the renaming ceremony
140,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Seems like a plausible use of medical insurance premiums.
141,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,I don't care how much the insurance company pays: It's the Ralph and will always be the Ralph.
142,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,So this must be why health insurance is so expensive. We need to pay for these companies to sponsor stadiums to get free stuff...
143,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"The State farm ""We've got you covered"" name must already be taken!"
144,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"TY to BCBS for once again supporting our BUFFALO BILLS, its gonna be worth the excitement they'll continue to bring..........."
145,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
146,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
147,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,The aspirin at the hospital just went up 3 more dollars per pill
148,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,I hear it wasn't the first choice but was just sort of kept around as an insurance policy
149,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"So glad they're spending all that money. Meanwhile your premiums go up, provider reimbursement goes down."
150,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,No matter who buys the naming rights- it’s always Rich Stadium to me.
151,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Lots of complaints from people who prefer... the original corporate name. Or when the previous owner named it after himself instead of tapping easy revenue.
152,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Rolls right off the tongue. 
153,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"By the time the broadcasters finish saying that name, it will be halftime. "
154,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"We had to get sponsored by blue cross, Josh is killing defenses "
155,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Given this name change, I think it appropriate that Key Bank Center be renamed Lowmark Center. "
156,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Well, the name sounds like crap. But the team inside it is what counts! Go Bills!"
157,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
158,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,I’m sure they are paying a lot for it.  But this is awful.  Awful name and I’m disgusted that a Health Insurance Company feels the need to spend that much money on naming rights.  People are spending a ton of money in health insurance to have barely any benefit.  
159,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Thats a weird way to spell The Ralph.
160,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Still the Ralph 🤷🏼‍♀️
161,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
162,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"I'm assuming it will be known as ""The Highmark"" or ""Highmark Stadium"", rather than that mouthful"
163,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,This is where your health insurance money goes instead of treatment
164,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
165,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,It will always be Rich stadium to me.  
166,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Such a strange way to spell Rich Stadium...
167,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
168,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"There’s where your premiums are going, folks. "
169,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Seems reasonable.  I was expecting to end up with Delta Sonic Superkiss Stadium 
170,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"As long as we keep winning, I could care less what they name it..."
171,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
172,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Barstool Stadium would have been better
173,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Can you just put it back to the ralph
174,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"Call it what you want to, Ralph built the place.  It's always going to be ""The Ralph"", out of respect."
175,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
176,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Paid with coverage denials to enrollees needing necessary care. 
177,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,This couldn't be more of a letdown.. at least I'll have an answer when I ask why my health insurance increased this year!
178,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"It's just awesome that a really expensive (not for profit) health insurance company has enough money laying around, during  a pandemic, to pay to hang their awful name on a stadium that everyone is going to call The Ralph anyway..."
179,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,The positivity in these comments is almost unbearable. You guys need some sunshine and a break from social media if THIS is what you’re choosing to put negative energy into 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️ 
180,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Such a great super bowl win
181,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Such a sweet season - next year we get the super bowl 🏈🏈🏈🏈
182,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Top fan
183,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Lol why is there so many salty/ cleay delusional NE fans on this post?
184,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Haha half of them are against the Dolphins.
185,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,And came up short...again 🙄
186,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Josh “YOLO play” Allen
187,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Eric Helsel next years highlights will all be Mitch 😂
188,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Some great plays.
189,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,"The fact that diggs didn’t get  absolutely hammered in the first clip, is exactly what’s wrong with the raiders secondary."
190,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,awesome
191,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Allen is a great QB never really seen anyone do a backhanded pass like he did in the honourable mention
192,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,#BILLSMAFIA4LIFE 
193,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,WELCOME TO COLOMBIA
194,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Reminder to vote Ryan Fitzpatrick into the pro Bowl so that he can make the hall of fame.
195,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Logan Schultz just that first play 🤯 I never saw it. Wow
196,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Derrick Hooks Jr
197,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Clare Mondry some of these are actually crazy
198,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Simon St-Onge
199,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Ron Barbera
200,https://m.facebook.com/search/posts/?q=Buffalo%20BIlls,Buffalo BIlls,Paul Green i just want a fair game on that catch and throw 
